,Acanthina brevidentata,Acanthochitona avicula,Acanthochitona hirudiriformis,Acanthopleura echinata,Actiniaria sp. 1,Actiniaria sp. 2,Actiniaria sp. 3,Actiniaria sp. 4,Aeneator fontainei,Aeneator sp. 1,Aesopus aliciae,Ahnfeltiopsis durvillei,Ahnfeltiopsis fursellata,Anachis rugulosa,Anachis sp. 1,Anphiroa dimorfa,Anphiroa sp. 1,Anthothoe chilensis,Argopecten purpuratus,Austrolittorina spp.,Austrolittorina viridula,Austromegabalanus spp.,Bachelotia antillarum,Balanus flosculus,Barbatia gradata,Bivalvia sp. 1,Bivalvia sp. 2,Blanquita sp. 1,Bostrycapulus calyptraeformis,Brachyura sp.1,Brachyura sp.2,Brachyura sp.3,Bryopsis indica var. Triseriata,Bryopsis rhizophora,Bryopsis sp. 1,Bryozoa sp. 1,Bulla punctulata,Caliptrea trochiformis,Calliostoma antonii,Cancellaria exopleura,Cancellaria sp. 1,Cantharus elegans,Cantharus gemmatus,Cardita affinis,Caulerpa filiformis,Ceramium rubrum,Chaetomorpha aerea,Chaetomorpha antennina,Chaetopleura peruviana,Chaetopleura sp. Thorne,Chiton cumingsii,Chiton granosus,Chondracantus chamissoi,Chondracantus glomeratus,Chondracantus sp. 1,Cirripedia sp. 1,Cladophora fascicularis,Cladophora sp. 1,Codium peruvianum,Collisela atrata,Collisela lessoni,Collisela maura,Collisela orbingyi,Colpomena sinuosa,Colpomena tuberculata,Columbella paitensis,Columbella sp. 1,Columbella strombiformis,Coralina ferreyrai,Coralina officinalis,Crassilabrum crassilabrum,Crepidula aculeata,Crepidula dilatata,Crepidula excavata,Crepidula incurva,Crepidula lessoni,Crepidula onyx,Crepidula rostrata,Crepidula striolata,Crucibulum monticulus,Crucibulum scutellatum,Crucibulum serratum,Crucibulum spinosum,Cryptomenia obovata,Cypraea arabicula,Dictyota dicotoma,Dictyota kunthii,Diloma nigerrima,Diloma spp.,Diodora saturnalis,Enoplochiton niger,Enteromorpha intestinalis,Epitonium obtusum,Eulima sp. 1,Favartia lappa,Fissurella asperella,Fissurella bridgesi,Fissurella costata,Fissurella crassa,Fissurella cumingi,Fissurella latimarinata,Fissurella limbata,Fissurella longifissa,Fissurella macrotema,Fissurella maxima,Fissurella microtrema,Fissurella peruviana,Fissurella pulchra,Fissurella radiosa,Fissurella rubropicta,Fissurella spp.,Gellidium congestum,Gellidium crinale var  Luxurians,Gellidium ferreyrai,Gellidium howeii,Gellidium pusillum,Gellidium sp. 2,Gracilaria spp.,Grateloupia filicina,Grateloupia sp. 1,Gymnogongrus disciplinalis,Halymenia spp.,Heliaster helianthus,Hildebrandia spp.,Hipponix sp. 1,Hydrozoa sp. 1,Hydrozoa sp. 2,Hypnea valentiae,Irus ellipticus,Isognomon recognitus,Jehlius cirratus,Laurencia paitensis,Laurencia sp. 1,Leptogorgia cuspidata,Limpet sp. 1,Limpet sp. 2,Limpet sp. 3,Limpet sp. 4,Lithothamnion spp.,Littorina aspera,Littorina modesta,Littorina paytensis,Littorina spp.,Loxechinus albus,Mazatlania fulgurata,Mesotomura echinata,Mitra effusa,Mitra orientalis,Mitrella baccata,Mitrella densilineata,Mitrella elegans,Mitrella sp. 1,Mitrella unicolor,Mitrella unifasciata,Morula sp. 1,Nassarius dentifer,Nassarius gayi,Neorubra decipiens,Nerita funiculata,Noetia olssoni,Notochthamalus scabrosus,Nucula chrysocome,Nucula sp. 1,Nudibranchia sp. 1,Ophiuroidea sp.1,Ostraea megodon,Ostrea iridiscens,Oulactis concinnata,Padina durvillaei,Pattalus mollis,Perumytilus purpuratus,Phragmatopoma spp.,Phymactis papillosa,Phymanthea pluvia,Planaxis planicostatus,Pododesmus sp. 1,Polichaeta sp. 1,Polinices uber,Pollicipes elegans,Polysiphonia spp.,Porifera sp.1,Porifera sp.2,Porifera sp.3,Porifera sp.4,Priene scabrum,Prionitis decipiens,Prisogaster niger,Protothaca beili,Prunum curtum,Pteria sterna,Purpura patula,Ralfsia spp.,Rhodymenia californica,Rhodymenia corallina,Rhodymenia multidigitata,Rhodymenia sp.,Scurria bohmita,Scurria ceciliana,Scurria parasitica,Scurria parasitica cofea,Scurria peruviana,Scurria plana,Scurria scurra,Scurria spp.,Scurria viridula,Semimytilus algosus,Sinum cymba,Siphonaria gigas,Siphonaria maura,Siphonaria spp.,Spatoglossum crispatum,Sphenia fragilis,Stichaster striatus,Streblocladia camptoclada,Streblocladia spicata,Tegula eurymphala,Tegula mariana,Tegula spp.,Tegula verrucosa,Terebra sp. 1,Tetrapygus niger,Thais biseralis,Thais callaoensis,Thais chocolata,Thais haemastoma,Thais radians,Thais sp. 1,Thais sp. 2,Thais sp. 3,Thais speciosa,Thais triangularis,Tonicia chilensis,Tonicia elegans,Trivia fusca,Trivia radians,Trochita calyptriformis,Turritela sp.,Ulva spp.,Zooantido
P11,1,0,0,1,0,0,0,0,0,0,0,139,0,0,0,6,167,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,40,0,3,0,0,0,139,0,0,0,0,17,1,0,0,0,1,0,70,0,0,0,0,0,0,0,14,0,0,0,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,1,0,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,1,36,0,0,6,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,21,0
P12,0,1,1,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,34,0,0,1,0,0,0,0,14,25,1,0,0,0,477,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,71,0,25,0,0,0,0,0,0,0,0,169,0,0,14,0,0,0,0,0,0,0,18,0,0,0,64,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,131,0,0,0,0,0,0,0,1,0,0,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,33,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0
P13,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,1,308,0,0,72,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,2,0,10,0,0,256,0,0,0,0,1,1,0,12,17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,40,0,0,187,0,0,0,0,0,0,0,102,0,0,0,184,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,33,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,1,0,0,1,0,0,0,0,115,0,0,0,0,0,25,19,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,140,0
P14,0,0,0,7,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,1,20,0,0,0,0,0,0,356,0,0,0,0,0,0,0,78,0,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0
P15,0,0,0,0,0,0,267,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,22,0,0,4,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,162,0,81,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
P16,0,0,0,0,8,0,68,0,0,0,0,77,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,33,0,0,3,51,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,154,0,0,0,0,0,0,34,0,0,0,0,0,15,8,0,0,0,0,59,0,0,0,0,1,1,1,0,0,0,1,1,0,3,0,0,0,12,0,0,0,0,0,0,0,173,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,70,0
P17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,7,0,0,0,6,0,0,0,0,0,0,296,0,0,0,1,0,0,0,18,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,104,0,0,0,0,0,3,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,1,0,54,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0
P18,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,815,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,1,1,0,0,12,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,126,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,44,0,0,0,0,47,0,0,0,0,0,1,0,0,0,0,0,9,1,2,0,0,0,4,0,0,0,0,0,1,0,151,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,70,33
P19,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,25,0,0,0,0,0,0,301,0,0,0,0,0,0,0,144,0,0,0,422,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,18,0,0,0,0,0,0,0,0,0,0,0,29,25,0,0,0,0,33,0,0,0,0,1,1,1,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0
P20,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,60,0,0,43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,315,0,0,2,5,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,40,0,0,0,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,62,0,0,0,1,0,1,0,0,0,0,0,0,25,0,0,0,0,35,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0
P21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,183,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,25,0,3,13,3,30,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,252,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,39,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0
P22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,108,0,13,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,135,0,263,3,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,1841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,118,0,0,1,0,1,1,0,0,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,0,306,0,0,0,4,0,0,1,0,0,1,0,8,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,203,0
P23,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,203,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,21,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,0,0,0,0,1,1,112,0,0,0,0,0,0,0,0,0,1,0,890,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
P24,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,30,0,0,146,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,12,0,245,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,215,0
P25,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,286,0,0,0,2030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,12,0,0,0,0,0,0,0,0,0,1,0,496,0,0,2,0,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,4,0
P26,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,125,0,0,0,779,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,573,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,53,0,144,0,0,0,9,0,0,0,0,0,1,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24,0
P27,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,221,0,0,0,0,0,0,87,0,26,4,0,24,0,0,0,0,0,0,217,0,0,0,0,0,0,0,15,0,0,0,2617,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,214,0,0,0,0,157,0,0,0,0,1,1,1,0,0,0,0,3,0,78,0,0,0,14,0,0,0,0,0,1,0,706,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
P28,0,0,0,0,0,0,0,0,0,0,0,130,296,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,1,1,83,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,279,0,0,124,5,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,56,0,0,0,2078,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,1,40,0,0,0,2,0,0,11,0,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
P29,0,0,0,0,0,0,0,0,0,0,0,435,26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,1,1,60,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,13,17,0,0,0,0,0,0,189,0,0,51,1,0,1,0,0,0,0,0,111,0,0,0,0,0,0,0,81,0,0,0,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,1,0,0,0,0,0,57,0,0,0,0,0,0,21,0,0,0,0,4,0,0,0,0,0,1,1,0,0,1,0,46,1,30,0,0,0,0,0,0,0,0,0,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
P30,0,0,0,0,0,0,0,0,0,0,0,85,171,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,73,1,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,48,0,0,0,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,6,0,0,0,0,31,0,0,0,0,1,0,1,0,0,0,0,14,1,19,0,0,0,0,0,0,4,0,0,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
P31,0,0,0,0,0,0,0,0,0,0,0,191,80,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,43,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,111,0,0,0,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,7,0,0,0,0,47,0,0,0,0,0,1,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0
P32,0,0,0,0,0,0,0,0,1,0,1,41,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,244,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,121,0,0,54,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,54,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,25,0,0,0,0,0,0,0,0,0,1,0,75,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,41,0
P33,0,0,0,0,0,0,0,0,0,0,0,44,134,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,33,1,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,48,0,0,0,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,1,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,48,0,6,0,0,0,0,0,0,1,0,0,1,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0
P34,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,50,0,0,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,136,0,0,0,8,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0
